work_year,job_title,experience_level,employment_type,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,source,employer
2021,Data Architect,Mid,Full-time,150000 - 150000 USD,USD,150000,US,100,US,L,kaggle,
2021,Data Engineer,Mid,Full-time,82528 - 82528 USD,USD,82528,GB,100,GB,L,kaggle,
2021,Research Scientist,Senior,Full-time,60757 - 60757 USD,USD,60757,PT,50,PT,L,kaggle,
2021,Data Scientist,Mid,Full-time,2859 - 2859 USD,USD,2859,MX,0,MX,S,kaggle,
2021,Data Scientist,Mid,Full-time,40038 - 40038 USD,USD,40038,CL,100,CL,L,kaggle,
2021,Big Data Engineer,Mid,Full-time,22611 - 22611 USD,USD,22611,IN,0,IN,L,kaggle,
2021,Data Scientist,Mid,Full-time,90734 - 90734 USD,USD,90734,DE,50,DE,L,kaggle,
2021,Data Engineer,Mid,Full-time,26005 - 26005 USD,USD,26005,RO,0,US,L,kaggle,
2021,Finance Data Analyst,Senior,Full-time,61896 - 61896 USD,USD,61896,GB,50,GB,L,kaggle,
2021,Machine Learning Scientist,Mid,Freelance,12000 - 12000 USD,USD,12000,PK,50,PK,M,kaggle,
2021,Data Engineer,Mid,Full-time,4000 - 4000 USD,USD,4000,IR,100,IR,M,kaggle,
2021,Data Analytics Engineer,Senior,Full-time,50000 - 50000 USD,USD,50000,VN,100,GB,M,kaggle,
2021,Data Science Consultant,Executive,Full-time,69741 - 69741 USD,USD,69741,FR,100,ES,S,kaggle,
2021,Machine Learning Engineer,Mid,Full-time,74000 - 74000 USD,USD,74000,JP,50,JP,S,kaggle,
2021,Machine Learning Engineer,Junior,Full-time,21844 - 21844 USD,USD,21844,CO,50,CO,M,kaggle,
2021,Big Data Engineer,Mid,Full-time,18000 - 18000 USD,USD,18000,MD,0,MD,S,kaggle,
2021,BI Data Analyst,Junior,Full-time,9272 - 9272 USD,USD,9272,KE,100,KE,S,kaggle,
2021,Data Science Manager,Senior,Full-time,54094 - 54094 USD,USD,54094,IN,50,US,L,kaggle,
2021,Data Science Consultant,Junior,Full-time,90000 - 90000 USD,USD,90000,US,100,US,S,kaggle,
2021,Machine Learning Infrastructure Engineer,Senior,Full-time,195000 - 195000 USD,USD,195000,US,100,US,M,kaggle,
2021,Data Scientist,Mid,Full-time,37825 - 37825 USD,USD,37825,ES,100,ES,L,kaggle,
2021,Data Scientist,Mid,Full-time,12901 - 12901 USD,USD,12901,BR,0,BR,S,kaggle,
2021,Data Engineer,Mid,Freelance,20000 - 20000 USD,USD,20000,IT,0,US,L,kaggle,
2021,Machine Learning Engineer,Mid,Full-time,24823 - 24823 USD,USD,24823,SI,50,SI,L,kaggle,
2021,Data Engineer,Mid,Full-time,66022 - 66022 USD,USD,66022,HK,50,GB,S,kaggle,
2021,Computer Vision Engineer,Junior,Part-time,28609 - 28609 USD,USD,28609,DK,50,DK,S,kaggle,
2021,Machine Learning Engineer,Mid,Full-time,46597 - 46597 USD,USD,46597,PL,100,PL,L,kaggle,
2021,Data Scientist,Mid,Full-time,116914 - 116914 USD,USD,116914,GB,50,GB,L,kaggle,
2021,Data Analyst,Senior,Full-time,71786 - 71786 USD,USD,71786,CA,100,CA,M,kaggle,
2021,Director of Data Engineering,Senior,Full-time,200000 - 200000 USD,USD,200000,US,100,US,L,kaggle,
2021,Head of Data Science,Mid,Full-time,110000 - 110000 USD,USD,110000,US,0,US,S,kaggle,
2021,Data Scientist,Junior,Full-time,4000 - 4000 USD,USD,4000,VN,0,VN,M,kaggle,
2021,AI Scientist,Junior,Full-time,18053 - 18053 USD,USD,18053,IN,100,AS,S,kaggle,
2021,Data Engineer,Mid,Full-time,12103 - 12103 USD,USD,12103,TR,0,TR,M,kaggle,
2021,Principal Data Analyst,Senior,Full-time,170000 - 170000 USD,USD,170000,US,100,US,M,kaggle,
2021,Big Data Architect,Senior,Full-time,99703 - 99703 USD,USD,99703,CA,50,CA,M,kaggle,
2021,Principal Data Scientist,Senior,Full-time,173762 - 173762 USD,USD,173762,DE,100,DE,M,kaggle,
2021,Data Analyst,Senior,Full-time,63831 - 63831 USD,USD,63831,DE,50,DE,L,kaggle,
2021,Data Scientist,Mid,Full-time,25532 - 25532 USD,USD,25532,RS,100,DE,S,kaggle,
2021,Lead Data Engineer,Senior,Full-time,160000 - 160000 USD,USD,160000,PR,50,US,S,kaggle,
2021,Data Engineer,Junior,Full-time,65013 - 65013 USD,USD,65013,DE,50,DE,M,kaggle,
2021,Machine Learning Engineer,Junior,Full-time,85000 - 85000 USD,USD,85000,NL,100,DE,S,kaggle,
2021,AI Scientist,Senior,Full-time,55000 - 55000 USD,USD,55000,ES,100,ES,L,kaggle,
2021,Data Scientist,Senior,Full-time,20171 - 20171 USD,USD,20171,TR,50,TR,L,kaggle,
2021,Business Data Analyst,Junior,Full-time,59102 - 59102 USD,USD,59102,LU,100,LU,L,kaggle,
2021,Research Scientist,Junior,Full-time,100000 - 100000 USD,USD,100000,JE,0,CN,L,kaggle,
2021,Staff Data Scientist,Senior,Contract,105000 - 105000 USD,USD,105000,US,100,US,M,kaggle,
2021,Research Scientist,Mid,Full-time,69999 - 69999 USD,USD,69999,CZ,50,CZ,L,kaggle,
2021,Head of Data,Senior,Full-time,102839 - 102839 USD,USD,102839,SI,100,SI,L,kaggle,
2021,Machine Learning Engineer,Mid,Full-time,51064 - 51064 USD,USD,51064,IT,50,IT,L,kaggle,
2022,Data Engineer,Senior,Full-time,135000 - 135000 USD,USD,135000,US,100,US,M,kaggle,
2022,Data Analyst,Senior,Full-time,155000 - 155000 USD,USD,155000,US,100,US,M,kaggle,
2022,Data Scientist,Mid,Full-time,130000 - 130000 USD,USD,130000,US,0,US,M,kaggle,
2022,Data Scientist,Senior,Full-time,117789 - 117789 USD,USD,117789,GB,0,GB,M,kaggle,
2022,Data Engineer,Junior,Full-time,52351 - 52351 USD,USD,52351,GB,100,GB,M,kaggle,
2022,Head of Data Science,Executive,Full-time,224000 - 224000 USD,USD,224000,US,100,US,M,kaggle,
2022,Analytics Engineer,Executive,Full-time,175000 - 175000 USD,USD,175000,US,100,US,M,kaggle,
2022,Data Science Manager,Senior,Full-time,161342 - 161342 USD,USD,161342,US,100,US,M,kaggle,
2022,Data Architect,Senior,Full-time,192400 - 192400 USD,USD,192400,CA,100,CA,M,kaggle,
2022,Data Analyst,Senior,Full-time,130000 - 130000 USD,USD,130000,CA,100,CA,M,kaggle,
2022,Machine Learning Engineer,Senior,Full-time,189650 - 189650 USD,USD,189650,US,0,US,M,kaggle,
2022,ETL Developer,Mid,Full-time,54957 - 54957 USD,USD,54957,GR,0,GR,M,kaggle,
2022,Lead Data Engineer,Executive,Full-time,118187 - 118187 USD,USD,118187,CA,100,CA,S,kaggle,
2022,Data Architect,Senior,Full-time,208775 - 208775 USD,USD,208775,US,100,US,M,kaggle,
2022,Head of Machine Learning,Executive,Full-time,79039 - 79039 USD,USD,79039,IN,50,IN,L,kaggle,
2022,Machine Learning Engineer,Junior,Full-time,37300 - 37300 USD,USD,37300,GB,100,GB,L,kaggle,
2022,AI Scientist,Mid,Full-time,120000 - 120000 USD,USD,120000,US,0,US,M,kaggle,
2022,Data Analytics Manager,Senior,Full-time,145000 - 145000 USD,USD,145000,US,100,US,M,kaggle,
2022,Machine Learning Engineer,Mid,Full-time,87932 - 87932 USD,USD,87932,FR,100,DE,M,kaggle,
2022,Data Analyst,Mid,Full-time,52351 - 52351 USD,USD,52351,GB,100,GB,M,kaggle,
2022,Data Engineer,Mid,Full-time,65949 - 65949 USD,USD,65949,GR,100,GR,M,kaggle,
2022,Data Science Engineer,Senior,Full-time,60000 - 60000 USD,USD,60000,AR,100,MX,L,kaggle,
2022,Machine Learning Scientist,Mid,Full-time,160000 - 160000 USD,USD,160000,US,100,US,L,kaggle,
2022,Data Engineer,Mid,Full-time,49461 - 49461 USD,USD,49461,ES,100,ES,M,kaggle,
2022,Data Analyst,Mid,Full-time,43966 - 43966 USD,USD,43966,ES,100,ES,M,kaggle,
2022,Data Analyst,Mid,Full-time,43966 - 43966 USD,USD,43966,GR,100,GR,M,kaggle,
2022,ML Engineer,Junior,Full-time,21983 - 21983 USD,USD,21983,PT,100,PT,L,kaggle,
2022,Machine Learning Developer,Mid,Full-time,78791 - 78791 USD,USD,78791,CA,100,CA,M,kaggle,
2022,Director of Data Science,Executive,Full-time,196979 - 196979 USD,USD,196979,CA,50,CA,L,kaggle,
2022,Computer Vision Engineer,Junior,Full-time,125000 - 125000 USD,USD,125000,US,0,US,M,kaggle,
2022,NLP Engineer,Mid,Full-time,37236 - 37236 USD,USD,37236,US,50,US,L,kaggle,
2022,Lead Machine Learning Engineer,Senior,Full-time,87932 - 87932 USD,USD,87932,DE,0,DE,M,kaggle,
2022,Business Data Analyst,Mid,Full-time,18442 - 18442 USD,USD,18442,IN,100,IN,M,kaggle,
2022,Data Scientist,Mid,Full-time,31615 - 31615 USD,USD,31615,IN,100,IN,L,kaggle,
2022,Machine Learning Infrastructure Engineer,Mid,Full-time,58255 - 58255 USD,USD,58255,PT,50,PT,L,kaggle,
2022,Financial Data Analyst,Junior,Full-time,100000 - 100000 USD,USD,100000,US,50,US,L,kaggle,
2022,Data Engineer,Mid,Part-time,54957 - 54957 USD,USD,54957,DE,50,DE,L,kaggle,
2022,Principal Data Scientist,Senior,Full-time,162674 - 162674 USD,USD,162674,DE,100,DE,M,kaggle,
2022,Research Scientist,Senior,Full-time,144000 - 144000 USD,USD,144000,US,50,US,L,kaggle,
2022,Machine Learning Engineer,Senior,Full-time,120000 - 120000 USD,USD,120000,AE,100,AE,S,kaggle,
2022,Data Scientist,Junior,Part-time,100000 - 100000 USD,USD,100000,DZ,50,DZ,M,kaggle,
2022,Data Scientist,Mid,Freelance,100000 - 100000 USD,USD,100000,CA,100,US,M,kaggle,
2022,Applied Machine Learning Scientist,Junior,Contract,31875 - 31875 USD,USD,31875,TN,100,CZ,M,kaggle,
2022,Head of Data,Senior,Full-time,200000 - 200000 USD,USD,200000,MY,100,US,M,kaggle,
2022,Principal Data Analyst,Mid,Full-time,75000 - 75000 USD,USD,75000,CA,100,CA,S,kaggle,
2022,Data Scientist,Mid,Full-time,35590 - 35590 USD,USD,35590,PL,100,PL,L,kaggle,
2022,Data Scientist,Senior,Full-time,100000 - 100000 USD,USD,100000,BR,100,US,M,kaggle,
2022,Data Engineer,Junior,Full-time,58035 - 58035 USD,USD,58035,PK,100,DE,M,kaggle,
2022,Research Scientist,Senior,Full-time,93427 - 93427 USD,USD,93427,FR,50,FR,L,kaggle,
2022,Machine Learning Engineer,Senior,Full-time,62651 - 62651 USD,USD,62651,NL,100,NL,L,kaggle,
2022,Head of Data,Mid,Full-time,32974 - 32974 USD,USD,32974,EE,100,EE,S,kaggle,
2022,Data Scientist,Junior,Full-time,40000 - 40000 USD,USD,40000,JP,100,MY,L,kaggle,
2022,Machine Learning Engineer,Mid,Full-time,87425 - 87425 USD,USD,87425,AU,100,AU,L,kaggle,
2022,Data Scientist,Junior,Full-time,86703 - 86703 USD,USD,86703,AU,50,AU,M,kaggle,
2022,Applied Machine Learning Scientist,Mid,Full-time,75000 - 75000 USD,USD,75000,BO,100,US,L,kaggle,
2022,Research Scientist,Mid,Full-time,64849 - 64849 USD,USD,64849,AT,0,AT,L,kaggle,
2022,Applied Data Scientist,Mid,Full-time,157000 - 157000 USD,USD,157000,US,100,US,L,kaggle,
2022,Computer Vision Software Engineer,Junior,Full-time,150000 - 150000 USD,USD,150000,AU,100,AU,S,kaggle,
2022,Business Data Analyst,Mid,Full-time,70912 - 70912 USD,USD,70912,CA,50,CA,L,kaggle,
2022,Machine Learning Engineer,Senior,Full-time,71444 - 71444 USD,USD,71444,IE,100,IE,S,kaggle,
2022,Data Analytics Engineer,Junior,Full-time,20000 - 20000 USD,USD,20000,PK,0,PK,M,kaggle,
2022,Data Scientist,Mid,Full-time,48000 - 48000 USD,USD,48000,RU,100,US,S,kaggle,
2022,Data Engineer,Mid,Full-time,68147 - 68147 USD,USD,68147,FR,100,FR,M,kaggle,
2022,Data Scientist,Mid,Full-time,122346 - 122346 USD,USD,122346,CH,0,CH,L,kaggle,
2022,Computer Vision Engineer,Junior,Full-time,10000 - 10000 USD,USD,10000,PT,100,LU,M,kaggle,
2022,Data Analytics Lead,Senior,Full-time,405000 - 405000 USD,USD,405000,US,100,US,L,kaggle,
2022,AI Scientist,Mid,Full-time,200000 - 200000 USD,USD,200000,IN,100,US,L,kaggle,
2025-05-22T15:27:07+0300,"Manual QA (API, Backend)",Unknown,Unknown,Не указано,указано,0,Москва,,RU,Unknown,hh_api,STARTRIBE LTD
2025-05-22T09:45:44+0300,Ручной тестировщик (Web),Unknown,Unknown,Не указано,указано,0,Москва,,RU,Unknown,hh_api,МПС софт
2025-05-19T12:34:27+0300,Тестировщик,Unknown,Unknown,100000 - 180000 RUR,RUR,100000,Москва,,RU,Unknown,hh_api,ВебРайз
2025-05-22T11:21:14+0300,Директор по персоналу (HRD),Unknown,Unknown,288000 - None RUR,RUR,288000,Москва,,RU,Unknown,hh_api,Моргун Екатерина Васильевна
2025-05-19T16:56:24+0300,Финансовый директор,Unknown,Unknown,Не указано,указано,0,Москва,,RU,Unknown,hh_api,INFOWATCH
2025-05-22T12:30:24+0300,"Заместитель начальника инспекции Департамента аудита образования, науки и инноваций",Unknown,Unknown,Не указано,указано,0,Москва,,RU,Unknown,hh_api,Счетная палата Российской Федерации
2025-05-22T09:53:30+0300,Бренд -директор,Unknown,Unknown,400000 - 400000 RUR,RUR,400000,Москва,,RU,Unknown,hh_api,Кадровое агентство ЕВА
2025-05-21T10:16:51+0300,Руководитель отдела продаж,Unknown,Unknown,300000 - None RUR,RUR,300000,Москва,,RU,Unknown,hh_api,Лёвина Елена Олеговна
2025-05-22T08:56:29+0300,Бизнес Аналитик,Unknown,Unknown,Не указано,указано,0,Москва,,RU,Unknown,hh_api,АФЛТ-Системс
2025-05-21T13:30:20+0300,Заместитель директора по персоналу,Unknown,Unknown,Не указано,указано,0,Москва,,RU,Unknown,hh_api,Хохряков Игорь
2025-05-22T13:59:50+0300,Бизнесс-ассистент основателя стартапа в Барселоне,Unknown,Unknown,200000 - 280000 RUR,RUR,200000,Москва,,RU,Unknown,hh_api,Испанский IT-стартап
2025-05-21T18:08:19+0300,Специалист по маркетингу,Unknown,Unknown,Не указано,указано,0,Москва,,RU,Unknown,hh_api,Бакарди Рус
